"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Phosphorylcholine","Phosphorylcholine","HMDB0001565","8691","C00588","C[N+](C)(C)CCOP(=O)(O)O","1"
"Argininosuccinic acid","Argininosuccinic acid","HMDB0000052","16950","C03406","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","1"
"Gamma-Aminobutyric acid","Gamma-Aminobutyric acid","HMDB0000112","223130","C00334","C(CC(=O)O)CN","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@@H](C(=O)O)N","1"
"Ganciclovir","Ganciclovir","HMDB0015139","3454",NA,"C1=NC2=C(N1COC(CO)CO)NC(=NC2=O)N","1"
"L-Cysteine","L-Cysteine","HMDB0000574","5862","C00097","C([C@@H](C(=O)O)N)S","1"
"N-Acetyl-L-phenylalanine","N-Acetyl-L-phenylalanine","HMDB0000512","74839","C03519","CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O","1"
"Sorbitol 6-phosphate","Sorbitol-6-phosphate","HMDB0005831","618","C02810","C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O","1"
"Xanthopterin","NA","NA","NA","NA","NA","0"
"6-Phosphogluconic acid","6-Phosphogluconic acid","HMDB0001316","91493","C00345","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O","1"
"Trigonelline","Trigonelline","HMDB0000875","5570","C01004","C[N+]1=CC=CC(=C1)C(=O)[O-]","1"
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid","HMDB0000263","1005","C00074","C=C(C(=O)O)OP(=O)(O)O","1"
"L-Arginine","L-Arginine","HMDB0000517","6322","C00062","C(C[C@@H](C(=O)O)N)CN=C(N)N","1"
"Succinic acid","Succinic acid","HMDB0000254","1110","C00042","C(CC(=O)O)C(=O)O","1"
"Homovanillic acid","Homovanillic acid","HMDB0000118","1738","C05582","COC1=C(C=CC(=C1)CC(=O)O)O","1"
"Spermine","Spermine","HMDB0001256","1103","C00750","C(CCNCCCN)CNCCCN","1"
"Theobromine","Theobromine","HMDB0002825","5429","C07480","CN1C=NC2=C1C(=O)NC(=O)N2C","1"
"Guanidinosuccinic acid","Guanidinosuccinic acid","HMDB0003157","439918","C03139","C([C@@H](C(=O)O)N=C(N)N)C(=O)O","1"
"Spermidine","Spermidine","HMDB0001257","1102","C00315","C(CCNCCCN)CN","1"
"Glutathione","Glutathione","HMDB0062697","745","C00051","NC(CCC(O)=NC(CS)C(O)=NCC(O)=O)C(O)=O","1"
"Pyruvic acid","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(=O)O","1"
"L-Lactic acid","L-Lactic acid","HMDB0000190","61503","C00186","C[C@@H](C(=O)O)O","1"
"5-Aminopentanoic acid","5-Aminopentanoic acid","HMDB0003355","138","C00431","C(CCN)CC(=O)O","1"
"Fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O","1"
"Stachydrine","Proline betaine","HMDB0004827","7016563","C10172","C[N+]1(CCC[C@H]1C(=O)[O-])C","1"
"Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00092","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O","1"
"Glucose 1-phosphate","Glucose 1-phosphate","HMDB0001586","439165","C00103","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)(O)O)O)O)O)O","1"
"S-Lactoylglutathione","S-Lactoylglutathione","HMDB0001066","440018","C03451","C[C@H](C(=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O","1"
"Betonicine","Betonicine","HMDB0029412","164642","C08269","C[N+]1(C[C@@H](C[C@H]1C(=O)[O-])O)C","1"
