"","comp 1","comp 2","comp 3","comp 4","comp 5"
"N-Acetylneuraminic acid",0,0,0,0,0
"N-Acetylmethionine",0,0,0,0,0
"N-Acetylleucine",0,0,0,0,0
"N-Acetylhistidine",0,0,0,0,0
"N-Acetylglutamic acid",0,0,0,0,0
"N-Acetylglucosamine 6-phosphate",0,0,0,0,0
"N-Acetylglucosamine 1-phosphate",0,0,0,0,0
"N-Acetylglucosamine",0,0,0,0,0
"N-Acetylaspartic acid",0,0,0,0,0
"N6-Acetyllysine",0,0,0.21638,0,0
"N5-Ethylglutamine",0,0,0,0,0
"N1-Acetylspermidine",0,0,0,0.051202,0
"N,N-Dimethylglycine",0,0,0,0,0
"myo-Inositol 2-phosphate",0,0,0,0,0
"Mucic acid",0,0,0,0,0
"Methionine sulfoxide",0,0,0,0,0
"Met",0,0,0,0,0
"Malic acid",0,0,0,0,0
"Lys",0,0,0,0,0
"Leu",0,0,0,0,0
"Lauric acid",0,0,0,0,0
"Lactic acid",0,0,0,0,0
"Kynurenine",0,0,0,0,0
"Isovaleric acid",0,0,0,0,0
"Isonicotinamide  Nicotinamide",0,0,0,0,-0.21944
"Isocitric acid",0,0,0,0,0
"Isobutyryl CoA_divalent",0,0,0,0,0
"Isobutyric acid  Butyric acid",0,0,0,0,0
"Isobutylamine",0,0,0,-0.09525,0
"Isethionic acid",0,0,0,0,0
"Inosine",0,0,0,0,0
"IMP",0,0,0,0,0
"Imidazolelactic acid",0,0,0,0,-0.0021386
"Imidazole-4-acetic acid",0,0,0,0.27394,0
"Ile",0,0,0,0,0
"Hypoxanthine",0,0,0,0,0
"Hypotaurine",0,0,0,0,0
"Hydroxyproline",0,0,0,0,0
"Homovanillic acid",0,0,0,0,0
"Homoserine",0,0,0,0,0
"Histamine",0,0,0,0,0
"His",0,0,0,0,-0.10559
"Hexylamine",0,0,0,0,0
"Hexanoic acid",0,0,0,0,0
"Heptanoic acid",0,0,0,0,0
"Guanosine",0,0,0,0,0
"Guanidoacetic acid",0,0,0.14544,0,0
"Guanidinosuccinic acid",0,0,0,0,0
"GTP",0,0,0,0,0
"GMP",0,0,0,0,0
"Gly-Leu",0,0,0,0,0
"Gly-Gly",0,0,0,0,0
"Glycolic acid",0,0,0,0,0
"Glycocholic acid",0,0,0,0,-0.18856
"Glycerophosphocholine",0,0,0,0,0
"Glycerol 3-phosphate",0,0,-0.050778,0,0
"Glyceric acid",0,0,-0.57701,0,0
"Glyceraldehyde 3-phosphate",0,0,0,0,0
"Gly-Asp",0,0,0,0,-0.1035
"Gly",0,0,0,0,0
"Glutathione GSSG_divalent",0,0,0,0,0
"Glutathione GSH",0,0,0,0,0
"Glutaric acid",0,0,0,0,0
"Glucuronic acid",0,0,0,0,0
"Glucose 1-phosphate",0,0,0,0,0
"Glucosamine",0,0,0,0,0
"Gluconic acid",0,0,0,0,0
"Glucaric acid",0,0,0,0,0
"Glu",0,0,0,0.052581,0
"Gln",0,0,0,0,0
"GDP",0,0,0,0,0
"Ganciclovir",0,0,0,0,0
"GABA",0,0,0,0,0
"Fumaric acid",0,0,0,0,0
"Fructose 1,6-diphosphate",0,0,0,0,0
"FAD_divalent",0,0,0,0,0
"Ergothioneine",0,0,0,0,0.73503
"Ectoine",0,0,0,0,0
"Dyphylline",0,0,0,0,0
"dTTP",0,0,0,0.31709,0
"Dihydroxyacetone phosphate",0,0,0,0,0
"Cytosine",0,0,0,0,0
"Cytidine",0,0,0,0,0
"Cysteinesulfinic acid",0,0,0,0,0
"Cysteine glutathione disulphide",0,0,0,0,0
"Cysteic acid",0,0,0,0,0
"Cystathionine",0,0,0,0,0
"Cys",0,0,0,0,0
"Cyclohexylamine",0,0,0,0,0
"Creatinine",0,0,0,0,0.22133
"Creatine",0,0,0,0,0
"CoA_divalent",0,0,0,0,0
"CMP-N-acetylneuraminate",0,0,0,0,0
"CMP",0,0,0,0,0
"Citrulline",0,0,0.35009,0,0
"Citric acid",0,0,0,0,0
"cis-Aconitic acid",0,0,0,0,0
"Choline",0,0,0,0,0
"Cholic acid",0,0,0,0,0
"CDP-choline",0,0,0,0,0
"CDP",0,0,0,0,0
"Carnosine",0,0,0,0,0
"Carboxymethyllysine",0,0,0,-0.31297,0
"Betaine aldehyde_H2O",0,0,0,0,0
"Betaine",0,0,0,0,0
"Benzoic acid",0,0,0,0,0
"ATP",0,0,0,0,0
"Asp",0,0,0,0,0
"Asn",0,0,0,0,0
"Ascorbic acid",0,0,0,0,0
"Argininosuccinic acid",0,0,0,0,0
"Arg-Glu",0,0,0,0,0
"Arg",0,0,0,0,0
"AMP",0,0,0,0,0
"Ala-Ala",0,0,0,0,0
"Ala",0,0,0,0,0
"ADP-ribose",0,0,0,0,0
"ADP-glucose  GDP-fucose",0,0,0,0,0
"ADP",0,0,0,0,0
"ADMA",0,0,0,0,0
"Adenosine",0,0,0,0,0
"Adenine",0,0,0,0,0
"Acetyl CoA_divalent",0,0,0,0,0
"Acetoacetamide",0,0,0,0,0
"7,8-Dihydrobiopterin",0,0,0,0,0
"6-Phosphogluconic acid",0,0,0,0,0
"6-Hydroxyhexanoic acid",0,0,0,0.035737,0
"6-Aminohexanoic acid",0,0,0,0,0
"5-Oxoproline",0,0,0,0,0
"5-Oxohexanoic acid",0,0,0,0,0
"5-Oxo-2-tetrahydrofurancarboxylic acid",0,0,0,0,0
"5-Methyltetrahydrofolic acid",0,0,0,0,0
"5-Methoxyindoleacetic acid",0,0,0.0073817,0,0
"5'-Deoxy-5'-methylthioadenosine",0,0,0,0,0
"5-Aminovaleric acid",0,0,0,0,0
"5-Aminoimidazole-4-carboxamide ribotide",0,0,0,0,0
"5,6,7,8-Tetrahydrobiopterin",0,0,0,0,0
"4-Guanidinobutyric acid",0,0,0,0,0
"4-Amino-3-hydroxybutyric acid",0,0,0,0,0
"3-Ureidopropionic acid",0,0,0,0,0
"3-Phosphoglyceric acid",0,0,0,0,0
"3-Indoxylsulfuric acid",0,0,0,0,0
"3-Hydroxybutyric acid",0,0,0,0,0
"3-Hydroxy-3-methylglutaric acid",0,0,0,0,0
"3'-Dephospho CoA",0,0,0,0,0
"3-Aminoisobutyric acid",0,0,0,0,0
"3',5'-ADP",0,0,0,0,0
"2-Phosphoglyceric acid",0,0,0,0,0
"2-Methylserine",0,0,0,0,0
"2-Hydroxyvaleric acid",0,0,0,0,0
"2-Hydroxyisobutyric acid",0,0,0,0,0
"2-Hydroxybutyric acid",0,0,0,0,0
"2-Hydroxy-4-methylvaleric acid",0,0,0,0,0
"2-Deoxyglucose 6-phosphate",0,0,0,0,0
"2-Aminobutyric acid",0,0,0,0,0
"2-Aminoadipic acid",0,0,0.15144,0,0
"2,6-Diaminopimelic acid",0,0,0,0,0
"2,4-Diaminobutyric acid",0,0,0,0,0
"2,3-Diphosphoglyceric acid",0,0,0,0,0
"2,3-Diaminopropionic acid",0,0,0,0,0
"1-Pyrroline 5-carboxylic acid",0,0,0.29581,0,0
"1-Methylnicotinamide",0,0,0,0,0
"1-Methylhistidine  3-Methylhistidine",0,0,0,0,0
"1-Methylhistamine",0,0,0,0,0
"1-Methyladenosine",0,0,0,0,0
"1-Methyl-4-imidazoleacetic acid",0,0,0,0,0
"1-Methyl-2-pyrrolidone",0,0,0,0,0
"1H-Imidazole-4-propionic acid",0,0,0,0,0
