"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Phenaceturic acid",-0.034634,-0.1003,-0.075238,-0.055964,-0.019554,0.071058,-0.0026817,-0.037451,-0.071434,0.017286
"Phe",-0.019437,0.027613,0.041229,0.16989,-0.039923,0.033425,0.014273,-0.028195,0.069078,-0.0067728
"Pelargonic acid",0.031262,-0.066451,0.028731,-0.050662,0.14676,-0.051829,0.0080144,0.12484,-0.01192,-0.025667
"Pantothenic acid",0.079784,-0.046661,-0.018929,0.0017849,0.058941,-0.008342,-0.016915,-0.071805,0.077579,-0.01341
"Oxypurinol",0.058248,0.044314,-0.069039,0.016034,0.10052,-0.090206,-0.041177,-0.051482,0.018281,0.030194
"O-Succinylhomoserine",0.088764,-0.0036783,-0.0131,0.022234,-0.054462,0.022999,0.0061689,0.041177,-0.029368,-0.00044484
"Ornithine",-0.07321,-0.08779,0.0051344,0.027454,-0.035753,0.0064689,-0.007307,-0.029838,-0.010924,-0.005317
"Ophthalmic acid",0.075666,-0.0010991,-0.030777,0.067254,-0.080965,0.051728,0.012387,-0.035044,-0.052384,0.01456
"Octanoyl CoA_divalent",-0.036441,0.038011,0.11635,0.015397,0.028473,-0.028554,-0.14419,-0.023987,-0.025537,0.0073709
"O-Acetylcarnitine",-0.070617,0.040053,0.06926,-0.068987,0.032416,0.041523,0.025793,0.0051791,-0.029542,0.037725
"omega-N-Methylarginine",-0.060341,-0.09455,-0.025731,0.026163,-0.079476,-0.026209,0.039628,-0.022083,-0.014525,-0.013891
"N-Methylproline",-0.046942,-0.093402,-0.034442,-0.0037368,-0.056267,0.02898,-0.025554,0.098158,-0.13549,-0.015725
"N-Methylglutamic acid",0.084425,0.013749,0.0064792,0.032933,-0.018191,0.049074,0.015603,-0.0090506,-0.11678,0.020086
"N-Methylalanine",-0.0017554,-0.12058,0.012417,0.011112,0.0092993,0.0083693,0.15226,0.094039,0.04038,0.00046164
"Nicotinic acid",0.0487,0.010202,0.11666,-0.052362,0.0096219,-0.031097,-0.064383,-0.088688,0.0178,0.0020677
"N-Ethylmaleimide_H2O",0.0057585,0.062778,-0.039744,0.15954,0.016082,0.020698,-0.042246,-0.078252,0.013008,0.0062621
"N-Carbamoylaspartic acid",-0.033168,-0.075294,0.017317,-0.05271,0.0069054,0.13442,0.13773,-0.080437,-0.075088,0.0025437
"NADPH_divalent",-0.022661,-0.075867,0.045067,-0.11501,0.063943,0.086566,-0.072772,-0.012556,0.060962,0.00096115
"NADP",0.013215,0.023136,0.12963,-0.050138,0.024599,-0.10516,0.086378,0.02316,-0.04242,0.0010976
"NADH",-0.037928,-0.022382,0.087627,-0.081557,0.056677,0.041795,-0.14956,-0.033589,0.02827,-0.020833
"NAD",0.0069766,0.037056,0.12351,-0.050046,0.025634,-0.12818,0.076944,0.012468,-0.023768,0.0056713
"N-Acetyl-beta-alanine",0.065852,-0.051322,-0.067616,0.067448,0.028195,-0.065415,0.042046,0.010844,-0.035031,-0.00093284
"N-Acetylphenylalanine",-0.08331,0.012198,0.069836,-0.0015738,0.013465,0.036962,0.0038517,0.0086638,-0.0075864,-0.014654
"N-Acetylornithine",-0.073628,0.054281,-0.054363,0.058168,0.025608,-0.01159,-0.036288,0.049161,0.020329,-0.024343
"N-Acetylneuraminic acid",-0.050067,-0.068981,-0.00057793,0.097963,0.034465,-0.021673,0.14259,0.0076356,-0.010171,0.033075
"N-Acetylmethionine",0.011439,-0.010049,-0.068926,0.14634,0.060525,-0.03044,-0.032777,-0.10181,-0.069539,-0.024182
"N-Acetylleucine",-0.072088,-0.042171,0.070113,0.010815,-0.013726,0.051951,-0.017561,-0.032502,-0.10537,-0.012285
"N-Acetylhistidine",-0.073293,-0.02896,0.049483,0.075421,0.054668,-0.010531,0.062564,0.029571,-0.0099736,-0.022021
"N-Acetylglutamic acid",-0.042236,-0.11979,-0.016961,0.047964,0.0089685,0.023896,0.074758,-0.033603,-0.046441,-0.0077106
"N-Acetylglucosamine 6-phosphate",0.085558,-0.017989,-0.034809,-0.042518,0.032793,-0.05267,-0.016344,-0.022117,-0.0011052,0.017144
"N-Acetylglucosamine 1-phosphate",0.067297,-0.048779,-0.057958,-0.053584,0.043855,-0.031982,0.096474,-0.053361,-0.0041663,0.00052838
"N-Acetylglucosamine",0.05613,0.0218,-0.081449,0.043009,0.05535,-0.01367,-0.057156,-0.14613,0.050654,0.01326
"N-Acetylaspartic acid",0.0090867,-0.10747,0.046412,-0.095025,0.043081,0.048601,0.083611,0.04829,0.0091184,-0.049308
"N8-Acetylspermidine",-0.054123,-0.028116,-0.054845,0.08068,0.0080149,0.085942,-0.039125,0.071471,-0.14998,0.029188
"N6-Acetyllysine",-0.052829,-0.066986,-0.0011041,0.084709,-0.074697,-0.039588,0.051163,0.05244,0.11765,-0.060995
"N6,N6,N6-Trimethyllysine",0.011414,0.080359,0.066503,0.078672,-0.0087261,-0.020152,0.068901,-0.14437,0.11687,0.042803
"N5-Ethylglutamine",-0.078696,-0.058723,-0.05488,0.018246,0.0056503,0.011241,-0.027945,0.037689,0.0049977,0.012442
"N1-Acetylspermidine",-0.022694,-0.012855,-0.087795,0.061595,0.062497,0.11288,0.057925,-0.16542,0.036471,0.0050594
"N,N-Dimethylglycine",-0.069321,-0.083152,0.050565,0.017345,0.0081177,-0.023558,-0.044223,-0.044327,-0.0014487,-0.00080389
"myo-Inositol 2-phosphate",-0.00078063,-0.013001,0.12611,-0.019226,-0.0062601,0.081353,-0.029076,0.038497,-0.18006,0.014297
"Mucic acid",0.059964,0.045332,-0.0093713,-0.015265,-0.13331,-0.0035628,0.037771,-0.042721,-0.11901,0.036541
"Methionine sulfoxide",0.020486,-0.030815,0.014065,0.15376,0.049163,0.095516,0.038645,-0.093341,0.046453,-0.018051
"Met",0.062844,-0.040498,-0.036151,0.11557,0.01465,0.049556,-0.023321,-0.014636,0.064276,0.014893
"Malic acid",-0.074269,-0.0098698,-0.081287,-0.011661,0.046878,0.054892,0.051012,0.0068942,-0.029627,0.018313
"Lys",-0.051794,-0.039836,0.056437,0.12393,-0.04426,0.028206,-0.0089519,0.05397,0.051907,0.012321
"Leu",-0.023957,0.022594,0.052731,0.16385,-0.045992,0.040797,0.0049949,-0.021405,0.059286,-0.01985
"Lauric acid",0.085117,-0.039239,0.018197,-0.029698,0.025554,-0.0043328,-0.032489,0.05168,0.056111,-0.011115
"Lactic acid",-0.088707,0.013152,-0.045941,0.0082446,0.023871,-0.013651,0.00025439,0.012665,-0.02255,-0.00177
"Kynurenine",0.024704,-0.074996,-6.675e-05,0.080145,0.15189,0.03281,-0.032512,0.014767,0.072817,0.011414
"Isovaleric acid",0.0071185,-0.094382,0.00051844,0.087532,0.13899,0.011189,-0.041251,0.0022428,-0.035206,-0.0079224
"Isopropanolamine",-0.031971,-0.061129,0.075152,0.073034,-0.07336,-0.10729,-0.035851,0.027691,-0.10758,0.001675
"Isonicotinamide  Nicotinamide",-0.0233,0.084667,-0.038376,0.11136,0.078338,0.040761,0.041483,0.039518,0.090235,0.026499
"Isocitric acid",-0.07187,0.024156,-0.052207,0.051422,-0.037666,0.070521,0.069135,-0.028379,-0.089035,-0.027914
"Isobutyryl CoA_divalent",-0.070083,-0.012422,0.099589,-0.018051,0.028071,0.035415,-0.0094974,-0.03093,-0.035131,-0.025129
"Isobutyric acid  Butyric acid",-0.00052582,-0.086543,0.043047,0.029268,0.14733,0.035205,-0.032168,-0.020454,-0.12532,0.0079617
"Isobutylamine",0.016531,0.093175,-0.023618,-0.010027,-0.042933,-0.052077,-0.14208,0.11941,0.12898,-0.03982
"Isethionic acid",-0.05441,0.046074,-0.07255,-0.060493,0.045209,-0.058139,0.05985,-0.12521,-0.025526,-0.016362
"Inosine",-0.0079895,0.13198,-0.037892,0.026347,0.087239,0.0035592,-0.022458,-0.0086653,0.02665,0.0051969
"IMP",0.010311,0.09627,-0.018735,0.04482,0.11989,0.032587,0.13212,-0.041608,-0.047051,0.016937
"Imidazolelactic acid",0.0063516,0.094788,0.052383,0.08409,0.11497,0.033661,-0.0016338,0.037541,-0.059407,-0.0055601
"Imidazole-4-acetic acid",0.040723,-0.062619,0.074374,0.0083996,0.061695,0.10031,-0.062797,-0.1356,-0.039042,-0.020017
"Ile",-0.030217,0.021576,0.085651,0.1328,-0.060247,0.010993,-0.033608,-0.047899,0.054019,0.011427
"Hypoxanthine",0.073619,0.040527,-0.042562,0.0393,0.070587,-0.0022448,-0.01825,-0.10399,0.01729,0.0058291
"Hypotaurine",-0.057824,-0.099244,0.050344,0.047431,0.017222,-0.026996,-0.025474,-0.033955,0.015516,0.0082789
"Hydroxyproline",-0.060431,-0.10513,0.0091617,0.027,-0.044628,-0.021275,-0.044152,0.0085955,-0.042025,-0.018225
"Homovanillic acid",-0.084835,-0.034024,0.0014694,0.035004,-0.027597,-0.078313,0.0063264,-0.032054,0.0088128,-0.0099732
"Homoserine",-0.068662,-0.07692,0.027935,0.038263,-0.073147,0.012883,-0.054354,-0.0014283,-0.013581,0.01524
"Histamine",0.013473,-0.094165,0.02289,-0.12879,0.033918,0.059623,0.076506,0.0074795,0.012207,0.015564
"His",-0.041557,0.057165,0.063456,0.11136,-0.023433,0.098911,-0.045773,0.041391,0.031797,0.05449
"Hexylamine",-0.06787,0.024909,-0.043199,-0.016059,0.088524,-0.10395,0.034783,0.088008,-0.014584,-0.012847
"Hexanoic acid",-0.038395,-0.072691,0.060921,-0.02576,0.10997,0.017985,-0.041342,-0.06658,-0.13205,0.011166
"Heptanoic acid",0.0098226,-0.068163,0.085275,0.0030137,0.15072,-0.018682,0.050308,0.002595,-0.069531,0.0011715
"Guanosine",0.075709,0.053699,0.014691,-0.029017,0.069282,-0.075833,-0.0019752,0.043921,-0.038184,0.017848
"Guanidoacetic acid",-0.055662,-0.097599,-0.0013096,-0.052,0.024057,0.052873,0.07525,0.038123,0.068337,-0.0092303
"Guanidinosuccinic acid",-0.087696,-0.015112,-0.031565,-0.019933,-0.0033827,-0.050198,0.057445,0.0056547,0.016721,-0.0020275
"GTP",-0.035535,0.034143,0.13955,0.031298,-0.0079876,0.01195,0.051798,-0.014782,0.024347,-0.026583
"GMP",0.082333,0.030919,0.019963,0.06304,-0.0026996,0.021251,0.06903,0.032951,-0.013084,0.034893
"Gly-Leu",-0.074424,0.033659,-0.059361,0.066424,0.023781,-0.042955,-0.017189,0.03973,0.049022,0.010154
"Gly-Gly",0.0855,0.021971,-0.021095,0.067006,-0.0063173,0.032121,0.01049,0.0002137,0.0040335,0.025679
"Glycolic acid",-0.071051,0.022578,0.003795,0.011902,0.010079,-0.015319,0.048314,-0.097504,-0.18307,0.0016335
"Glycocholic acid",0.033491,0.0044658,0.066172,0.015516,0.084595,0.036602,-0.11949,0.19202,0.067663,0.022891
"Glycerophosphocholine",-0.079315,0.033771,0.072612,-0.018318,0.023473,0.003162,0.016099,-0.0034845,0.041597,0.018332
"Glycerol 3-phosphate",-0.047208,0.079725,-0.018667,0.031811,0.12025,0.046915,-0.018951,0.0011787,-0.11994,-0.012656
"Glyceric acid",-0.02536,0.1056,-0.05244,-0.027407,0.010499,-0.014202,-0.027579,-0.027263,-0.18772,0.019025
"Glyceraldehyde 3-phosphate",-0.061016,0.083605,0.003715,-0.046666,0.092499,0.059794,-0.022577,0.0035118,-0.0023701,-0.023174
"Gly-Asp",-0.0068339,0.05392,0.12647,0.072098,-0.026166,0.046208,0.0047338,0.083709,0.042766,0.023664
"Gly",-0.022535,-0.11321,0.032182,0.057392,-0.023092,-0.079918,-0.11437,-0.043559,0.02251,-0.0039614
"Glutathione GSSG_divalent",-0.0075901,-0.013896,0.15007,0.04749,0.055513,0.0067764,0.013774,0.0089397,-0.02733,0.027133
"Glutathione GSH",-0.088067,0.0082692,-0.048134,-0.027043,-0.0078826,0.015325,-0.0075018,-0.0094342,-0.025464,-0.013896
"Glutaric acid",-0.035633,-0.12852,-0.0041246,0.029603,0.01411,0.083334,0.014518,0.022538,-0.039888,-4.2297e-05
"Glucuronic acid",-0.01279,0.027401,0.11729,-0.031867,-0.070925,0.048558,0.10301,0.10698,-0.075242,-0.016312
"Glucose 6-phosphate",-0.091467,0.0046058,0.020685,-0.023001,0.011222,0.01655,-0.025743,-0.02256,-0.019468,0.00093069
"Glucose 1-phosphate",-0.091469,0.011376,-0.013669,-0.0062693,-0.011036,-0.04452,-0.013453,0.0059258,0.033157,-0.0074964
"Glucosamine",-0.078788,0.050437,-0.052634,0.024584,0.05598,0.013108,0.0025811,0.014128,0.0010411,-0.0047055
"Gluconic acid",0.052307,0.019439,-0.081642,0.033054,0.13347,0.0068923,0.012657,0.063447,0.031479,-0.0035955
"Glucaric acid",0.03113,0.099736,-0.0010559,-0.092334,-0.052565,0.11728,-0.0040503,-0.0011243,0.02549,-0.016549
"Glu",0.031835,-0.03731,-0.087138,-0.021211,0.031992,0.1944,-0.015477,0.057463,0.0098383,-0.0054131
"Gln",-0.055671,0.11382,0.034787,0.011587,-0.034148,0.019485,0.023156,-0.00090217,-0.0045712,0.014319
"GDP-mannose  GDP-galactose",-0.089214,0.031949,0.015269,-0.017115,-0.029346,-0.010534,-0.0049579,0.02874,0.036508,0.0089074
"GDP",0.069956,-0.023218,0.064145,0.041464,0.088223,-0.0050824,0.064949,0.027437,-0.044568,0.017082
"Ganciclovir",-0.08297,0.013704,-0.057861,0.03324,-0.039863,-0.027828,-0.010351,0.02781,-0.028398,-0.0082739
"GABA",-0.082188,-0.040033,-0.061582,0.013267,0.0039115,-0.021375,0.028721,-0.0013231,0.010299,0.010913
"Fumaric acid",-0.066969,-0.038238,-0.071996,6.9992e-05,0.068343,0.061796,0.089239,0.012389,-0.023816,0.031197
"Fructose 6-phosphate",-0.089599,0.010477,0.031426,-0.01535,0.0076147,-0.0048547,-0.056379,-0.014027,-0.021338,-0.015149
"Fructose 1,6-diphosphate",-0.055093,0.063818,0.097681,-0.0078718,0.055022,0.0012087,-0.070235,-0.010285,-0.0057073,-0.0093624
"FAD_divalent",0.054009,-0.022878,0.074476,0.044277,0.10346,-0.028837,0.095373,0.050041,-0.072466,-0.0030753
"Ethanolamine phosphate",0.092132,-0.020201,-0.00031415,-0.010856,-0.01247,0.0001168,0.030573,0.019448,0.0090255,-0.027535
"Ergothioneine",0.019513,-0.056304,0.026358,-0.042059,0.051757,-0.17821,-0.042264,-0.17127,-0.013118,-0.030964
"Ectoine",-0.068421,-0.089044,-0.001241,-0.027916,-0.06285,-0.027482,0.02065,-0.036352,0.00079256,-0.01869
"Dyphylline",-0.079676,0.069429,-0.021971,0.038767,0.016429,0.019041,-0.009615,0.011526,-0.0035881,-0.01675
"dTTP",-0.033168,-0.075294,0.017317,-0.05271,0.0069054,0.13442,0.13773,-0.080437,-0.075088,0.020045
"Dihydroxyacetone phosphate",-0.074099,0.077081,0.007497,-0.022955,0.060736,0.032435,-0.038945,0.00069334,-0.014112,0.005891
"Diethanolamine",-0.033898,0.082983,-0.044122,-0.051765,0.054429,0.099137,0.094718,-0.10443,0.071471,-0.022449
"Cytosine",0.056473,-0.038556,-0.038125,-0.070482,-0.059766,0.013469,-0.057792,0.14302,-0.10088,-0.016989
"Cytidine",0.06588,-0.022609,0.057829,-0.083313,-0.030998,0.022784,0.021161,0.060363,0.11484,-0.015098
"Cysteinesulfinic acid",-0.022996,-0.11814,0.01768,-0.009593,0.063025,-0.10442,-0.058808,0.0075402,0.088396,-0.0081531
"Cysteine glutathione disulphide",-0.032141,-0.02682,0.086347,0.10058,0.079044,-0.062064,0.072821,-0.0019032,0.093735,-0.0013922
"Cysteic acid",-0.069618,-0.029861,-0.07309,0.047443,-0.068548,-0.038913,0.037063,-0.01757,0.051354,0.029008
"Cystathionine",-0.060877,-0.10339,0.031041,0.021709,-0.041236,-0.005087,-0.049633,-0.016379,0.012505,0.0021294
"Cys",-0.08326,-0.017385,-0.065888,-0.01131,-0.033203,-0.028506,0.00018836,-0.0098746,0.010345,-0.00077944
"Cyclohexylamine",-0.047664,0.058976,-0.086451,-0.044349,0.048996,-0.019508,-0.019738,0.144,0.017598,-0.03704
"Creatinine",0.00285,-0.085245,-0.037386,-0.095944,0.082633,-0.081823,-0.11585,-0.048423,-0.0044991,0.018081
"Creatine",0.053248,-0.10747,-0.0068051,-0.031139,0.064022,0.064577,0.029561,0.0074515,0.026661,0.036402
"CoA_divalent",-0.064148,-0.043492,-0.0075751,-0.068245,0.088468,0.08311,-0.054089,0.068517,-0.03898,0.012526
"CMP-N-acetylneuraminate",-0.030768,0.035483,0.12308,0.070189,-0.0040398,-0.0040522,0.10747,-0.015585,-0.012125,0.038569
"CMP",0.026826,-0.048733,0.11112,-0.083448,0.048689,0.05298,-0.053187,0.047133,0.057815,0.0027941
"Citrulline",-0.042499,-0.12289,0.0094322,-0.0022444,-0.023322,-0.023695,-0.0028056,0.0058757,0.11668,0.012461
"Citric acid",-0.061046,-0.069073,-0.01106,-0.025742,-0.064024,0.025755,0.15239,-0.01957,-0.011238,0.0053071
"cis-Aconitic acid",-0.06929,-0.041553,-0.085218,-0.023076,-0.032224,-0.0035103,0.076403,-0.0084374,0.025503,-0.0054522
"Choline",0.087619,-0.031149,0.022468,-0.0054522,0.014999,-0.051099,-0.013401,-0.055328,-0.0056525,0.01591
"Cholic acid",0.070644,-0.050018,-0.020529,0.051581,0.09196,0.0083509,-0.025766,0.067204,0.054984,-0.022483
"CDP-choline",0.066024,-0.032487,-0.015975,0.094085,-0.020154,-0.096572,0.089077,-0.0048808,0.023582,-0.033109
"CDP",-0.023542,0.06397,0.080872,-0.00094642,0.1063,-0.025947,0.016293,-0.15026,-0.089544,0.036089
